PClass,Age,Sex,Title,Survived
1st,29,female,Miss,1
1st,2,female,Miss,0
1st,30,male,Mr,0
1st,25,female,Mrs,0
1st,0.92,male,Nothing,1
1st,47,male,Mr,1
1st,63,female,Miss,1
1st,39,male,Mr,0
1st,58,female,Mrs,1
1st,71,male,Mr,0
1st,47,male,Nothing,0
1st,19,female,Mrs,1
1st,28,female,Mrs,1
1st,28,male,Mr,1
1st,28,male,Mr,0
1st,50,female,Mrs,1
1st,24,male,Mr,0
1st,36,male,Mr,0
1st,37,male,Mr,1
1st,47,female,Mrs,1
1st,26,male,Mr,1
1st,25,male,Mr,0
1st,25,male,Mr,1
1st,19,female,Mrs,1
1st,28,male,Mr,1
1st,45,male,Mr,0
1st,39,male,Mr,1
1st,30,female,Miss,1
1st,58,female,Miss,1
1st,28,male,Mr,0
1st,45,female,Miss,1
1st,22,female,Miss,1
1st,28,male,Mr,1
1st,41,male,Mr,0
1st,48,male,Mr,0
1st,28,male,Nothing,0
1st,44,female,Mrs,1
1st,59,female,Mrs,1
1st,60,female,Mrs,1
1st,45,male,Nothing,0
1st,28,male,Mr,1
1st,53,female,Mrs,1
1st,58,female,Mrs,1
1st,36,male,Mr,1
1st,33,male,Mr,0
1st,28,male,Mr,0
1st,28,male,Mr,0
1st,36,male,Mr,1
1st,36,female,Mrs,1
1st,14,female,Miss,1
1st,11,male,Nothing,1
1st,49,male,Mr,0
1st,28,female,Mrs,1
1st,36,male,Mr,0
1st,28,female,Mrs,1
1st,46,male,Mr,0
1st,47,female,Mrs,1
1st,27,male,Mr,1
1st,31,female,Mrs,1
1st,28,female,Miss,1
1st,28,male,Mr,1
1st,28,female,Mrs,1
1st,28,male,Mr,0
1st,27,male,Mr,0
1st,26,female,Mrs,1
1st,28,male,Mr,0
1st,28,male,Mr,0
1st,64,female,Mrs,1
1st,37,male,Mr,0
1st,39,female,Miss,1
1st,55,female,Mrs,1
1st,28,male,Mr,0
1st,70,male,Nothing,0
1st,69,female,Mrs,1
1st,36,female,Miss,1
1st,39,male,Mr,0
1st,38,female,Mrs,1
1st,28,male,Mr,1
1st,27,male,Mr,1
1st,31,male,Mr,0
1st,27,female,Mrs,1
1st,28,female,Nothing,1
1st,31,male,Mr,1
1st,17,female,Mrs,1
1st,28,male,Nothing,1
1st,28,female,Mrs,1
1st,4,male,Nothing,1
1st,27,female,Mrs,1
1st,50,male,Mr,0
1st,48,female,Mrs,1
1st,49,male,Nothing,1
1st,48,female,Nothing,1
1st,39,male,Mr,0
1st,23,female,Mrs,1
1st,53,female,Miss,1
1st,36,female,Miss,0
1st,28,female,Mrs,1
1st,28,male,Mr,1
1st,30,male,Mr,0
1st,24,female,Miss,1
1st,19,male,Mr,0
1st,28,female,Miss,1
1st,23,female,Miss,1
1st,64,male,Mr,0
1st,60,female,Mrs,1
1st,28,male,Mr,0
1st,49,male,Nothing,1
1st,28,female,Mrs,1
1st,44,male,Mr,1
1st,22,female,Miss,1
1st,60,male,Mr,1
1st,48,female,Mrs,1
1st,37,male,Mr,0
1st,35,female,Mrs,1
1st,47,male,Mr,0
1st,22,female,Miss,1
1st,45,female,Mrs,1
1st,49,male,Mr,1
1st,28,female,Mrs,1
1st,71,male,Mr,0
1st,54,male,Nothing,1
1st,38,male,Mr,0
1st,19,female,Miss,1
1st,58,female,Mrs,1
1st,45,female,Mrs,1
1st,23,male,Mr,1
1st,46,male,Mr,0
1st,25,male,Mr,1
1st,21,female,Mrs,1
1st,48,male,Mr,1
1st,49,female,Mrs,1
1st,45,male,Mr,0
1st,36,female,Mrs,1
1st,28,male,Mr,1
1st,55,male,Mr,0
1st,52,female,Mrs,1
1st,24,female,Miss,1
1st,28,male,Mr,0
1st,28,male,Mr,0
1st,28,male,Mr,0
1st,16,female,Miss,1
1st,44,female,Mrs,1
1st,51,female,Mrs,1
1st,42,male,Mr,0
1st,35,female,Mrs,1
1st,35,male,Mr,1
1st,38,male,Mr,1
1st,35,female,Mrs,1
1st,28,male,Mr,0
1st,50,female,Miss,0
1st,49,male,Mr,1
1st,46,male,Mr,0
1st,28,male,Mr,0
1st,58,male,Mr,0
1st,41,male,Mr,0
1st,28,female,Mrs,1
1st,42,male,Mr,1
1st,40,female,Mrs,1
1st,28,male,Mr,0
1st,28,female,Nothing,1
1st,28,male,Mr,0
1st,42,male,Mr,0
1st,55,female,Mrs,1
1st,50,female,Mrs,1
1st,16,female,Miss,1
1st,28,male,Mr,0
1st,29,male,Mr,0
1st,21,female,Miss,1
1st,30,male,Mr,0
1st,15,female,Miss,1
1st,30,male,Mr,0
1st,28,male,Mr,1
1st,28,male,Mr,0
1st,28,female,Mrs,1
1st,46,male,Mr,0
1st,54,male,Mr,0
1st,36,male,Mr,1
1st,28,male,Mr,0
1st,28,female,Mrs,1
1st,65,male,Mr,0
1st,33,female,Miss,1
1st,44,male,Nothing,0
1st,37,female,Mrs,1
1st,28,male,Mr,1
1st,55,male,Mr,0
1st,47,male,Mr,0
1st,36,male,Mr,0
1st,58,male,Mr,0
1st,31,female,Miss,1
1st,23,female,Miss,1
1st,19,female,Miss,1
1st,64,male,Mr,0
1st,28,male,Mr,1
1st,64,male,Mr,0
1st,22,female,Miss,1
1st,28,male,Mr,0
1st,28,male,Mr,0
1st,28,male,Mr,0
1st,22,male,Mr,0
1st,28,male,Mr,0
1st,28,female,Mrs,1
1st,18,male,Mr,0
1st,17,female,Mrs,1
1st,52,male,Nothing,1
1st,46,male,Mr,0
1st,56,female,Mrs,1
1st,28,male,Nothing,0
1st,28,male,Mr,1
1st,43,female,Mrs,1
1st,31,male,Mr,0
1st,28,male,Mr,1
1st,28,male,Mr,0
1st,33,female,Miss,1
1st,28,male,Mr,0
1st,27,female,Nothing,1
1st,55,male,Mr,0
1st,54,female,Mrs,1
1st,28,male,Mr,0
1st,61,male,Mr,0
1st,48,female,Mrs,1
1st,18,female,Miss,1
1st,13,male,Nothing,1
1st,21,female,Miss,1
1st,28,male,Mr,1
1st,28,male,Mr,1
1st,28,female,Mrs,1
1st,34,male,Mr,1
1st,40,female,Miss,1
1st,36,male,Mr,1
1st,50,male,Mr,0
1st,39,female,Mrs,1
1st,56,male,Nothing,1
1st,28,male,Mr,1
1st,56,male,Mr,0
1st,56,male,Mr,0
1st,24,male,Mr,0
1st,18,female,Mrs,1
1st,28,male,Mr,0
1st,24,male,Mr,1
1st,23,female,Mrs,1
1st,45,male,Mr,1
1st,40,female,Mrs,1
1st,6,male,Nothing,1
1st,57,male,Mr,0
1st,28,female,Mrs,1
1st,32,male,Nothing,1
1st,62,male,Mr,0
1st,54,male,Mr,1
1st,43,female,Mrs,1
1st,52,female,Mrs,1
1st,28,male,Mr,0
1st,62,female,Mrs,1
1st,67,male,Mr,0
1st,63,female,Mrs,0
1st,61,male,Mr,0
1st,46,female,Mrs,1
1st,52,male,Mr,0
1st,39,female,Mrs,1
1st,18,female,Miss,1
1st,48,male,Mr,1
1st,28,female,Mrs,1
1st,49,male,Mr,0
1st,39,female,Mrs,1
1st,17,male,Mr,1
1st,46,male,Mr,0
1st,28,female,Mrs,1
1st,31,male,Mr,1
1st,28,male,Mr,0
1st,61,male,Mr,0
1st,47,male,Mr,0
1st,64,male,Mr,0
1st,60,female,Mrs,1
1st,60,male,Nothing,0
1st,55,female,Mrs,1
1st,54,male,Mr,0
1st,21,male,Mr,0
1st,57,male,Mr,0
1st,45,female,Mrs,1
1st,31,female,Miss,1
1st,50,male,Mr,0
1st,50,female,Mrs,1
1st,27,male,Mr,0
1st,20,female,Miss,1
1st,51,male,Mr,0
1st,28,male,Mr,0
1st,21,male,Mr,1
1st,28,male,Mr,1
1st,28,male,Mr,0
1st,36,female,Miss,1
1st,28,female,Nothing,1
1st,28,female,Nothing,1
1st,28,female,Miss,1
1st,28,female,Nothing,1
1st,28,female,Nothing,1
1st,28,female,Nothing,1
1st,28,female,Nothing,1
1st,28,female,Nothing,1
1st,28,female,Nothing,1
1st,28,female,Miss,1
1st,28,male,Mr,0
1st,28,female,Nothing,0
1st,28,female,Nothing,1
1st,28,male,Mr,0
1st,28,female,Miss,1
1st,28,male,Mr,0
1st,28,male,Mr,0
1st,40,male,Mr,0
1st,28,male,Mr,0
1st,28,female,Nothing,1
1st,32,male,Mr,0
1st,28,female,Nothing,1
1st,28,female,Miss,1
1st,28,male,Mr,0
1st,28,female,Nothing,1
1st,28,female,Nothing,0
1st,28,female,Nothing,1
1st,33,male,Mr,0
1st,28,male,Mr,0
1st,28,female,Nothing,1
1st,28,female,Nothing,0
1st,28,female,Nothing,0
1st,28,female,Nothing,1
2nd,30,male,Mr,0
2nd,28,female,Mrs,1
2nd,18,male,Mr,0
2nd,28,male,Mr,0
2nd,34,male,Mr,0
2nd,32,female,Mrs,1
2nd,57,male,Mr,0
2nd,18,male,Mr,0
2nd,23,male,Mr,0
2nd,36,female,Mrs,1
2nd,28,male,Mr,0
2nd,51,male,Nothing,0
2nd,32,male,Mr,1
2nd,19,female,Mrs,1
2nd,28,male,Mr,0
2nd,36,female,Mrs,1
2nd,4,female,Miss,1
2nd,1,male,Nothing,1
2nd,12,female,Miss,1
2nd,34,male,Mr,1
2nd,19,female,Miss,1
2nd,23,male,Mr,0
2nd,26,male,Mr,0
2nd,28,male,Mr,0
2nd,27,male,Mr,0
2nd,15,female,Miss,1
2nd,45,male,Mr,0
2nd,40,female,Mrs,1
2nd,20,female,Miss,1
2nd,25,male,Mr,0
2nd,36,female,Miss,1
2nd,25,male,Mr,0
2nd,28,male,Nothing,0
2nd,42,female,Mrs,1
2nd,26,male,Mr,1
2nd,26,female,Mrs,1
2nd,0.83,male,Nothing,1
2nd,31,female,Miss,1
2nd,28,male,Mr,0
2nd,19,male,Mr,0
2nd,54,male,Nothing,0
2nd,44,female,Mrs,0
2nd,52,male,Mr,0
2nd,30,male,Mr,0
2nd,30,female,Mrs,0
2nd,28,female,Mrs,1
2nd,28,female,Miss,1
2nd,29,male,Mr,0
2nd,28,female,Mrs,1
2nd,29,male,Mr,0
2nd,27,male,Mr,0
2nd,24,male,Mr,1
2nd,35,male,Mr,0
2nd,31,female,Mrs,1
2nd,8,female,Miss,1
2nd,22,female,Mrs,0
2nd,30,female,Mrs,0
2nd,28,female,Mrs,0
2nd,20,male,Mr,0
2nd,28,male,Mr,0
2nd,21,male,Mr,0
2nd,49,female,Mrs,1
2nd,8,male,Nothing,1
2nd,28,female,Miss,1
2nd,18,male,Mr,0
2nd,28,male,Mr,0
2nd,28,male,Mr,0
2nd,22,female,Mrs,1
2nd,25,male,Mr,0
2nd,18,male,Mr,0
2nd,32,female,Mrs,1
2nd,18,female,Miss,1
2nd,28,male,Mr,0
2nd,42,male,Mr,0
2nd,34,female,Mrs,1
2nd,8,male,Nothing,1
2nd,28,female,Miss,1
2nd,28,female,Miss,1
2nd,23,male,Mr,0
2nd,21,male,Mr,0
2nd,19,male,Mr,0
2nd,28,male,Mr,0
2nd,28,female,Mrs,1
2nd,28,male,Mr,0
2nd,38,male,Mr,0
2nd,28,male,Mr,0
2nd,38,female,Miss,0
2nd,35,male,Mr,0
2nd,35,male,Mr,0
2nd,38,male,Mr,0
2nd,24,female,Miss,1
2nd,16,male,Mr,0
2nd,26,male,Mr,0
2nd,45,male,Mr,0
2nd,24,male,Mr,0
2nd,21,male,Mr,0
2nd,22,male,Mr,0
2nd,28,male,Mr,0
2nd,34,male,Mr,0
2nd,30,male,Mr,0
2nd,50,male,Mr,0
2nd,30,male,Mr,0
2nd,23,female,Mrs,1
2nd,1,male,Nothing,1
2nd,44,male,Mr,0
2nd,28,male,Nothing,0
2nd,6,female,Miss,1
2nd,30,male,Mr,1
2nd,28,male,Mr,0
2nd,43,male,Mr,0
2nd,45,female,Mrs,1
2nd,7,female,Miss,1
2nd,24,female,Miss,1
2nd,24,female,Miss,1
2nd,49,male,Mr,0
2nd,48,female,Mrs,1
2nd,28,female,Mrs,1
2nd,34,male,Mr,0
2nd,32,male,Mr,0
2nd,21,male,Mr,0
2nd,18,female,Miss,0
2nd,53,female,Mrs,1
2nd,23,male,Mr,0
2nd,21,female,Miss,1
2nd,28,male,Mr,0
2nd,52,male,Mr,0
2nd,42,male,Mr,0
2nd,36,female,Mrs,1
2nd,21,male,Mr,0
2nd,41,male,Mr,1
2nd,28,male,Mr,0
2nd,28,female,Mrs,0
2nd,33,male,Mr,0
2nd,17,female,Miss,1
2nd,28,male,Mr,0
2nd,28,female,Mrs,1
2nd,28,male,Mr,0
2nd,28,male,Mr,0
2nd,28,male,Mr,0
2nd,28,male,Mr,0
2nd,23,female,Mrs,1
2nd,34,male,Mr,0
2nd,28,female,Mrs,1
2nd,22,female,Mrs,0
2nd,28,male,Mr,0
2nd,28,female,Miss,1
2nd,45,female,Mrs,1
2nd,28,male,Nothing,0
2nd,28,male,Mr,0
2nd,31,male,Mr,0
2nd,30,male,Nothing,0
2nd,26,female,Mrs,0
2nd,28,male,Mr,0
2nd,34,female,Mrs,1
2nd,26,male,Mr,0
2nd,22,female,Mrs,1
2nd,1,female,Miss,1
2nd,3,female,Miss,1
2nd,28,female,Miss,1
2nd,28,female,Miss,1
2nd,28,male,Mr,0
2nd,25,male,Mr,0
2nd,28,male,Mr,0
2nd,48,male,Mr,0
2nd,28,female,Mrs,1
2nd,57,female,Mrs,0
2nd,28,male,Mr,0
2nd,28,male,Mr,0
2nd,28,female,Mrs,1
2nd,2,male,Nothing,1
2nd,28,male,Mr,0
2nd,27,male,Nothing,0
2nd,19,female,Mrs,1
2nd,30,male,Mr,0
2nd,20,male,Mr,0
2nd,45,male,Mr,0
2nd,28,male,Mr,0
2nd,46,male,Mr,0
2nd,41,female,Mrs,1
2nd,13,female,Miss,1
2nd,19,male,Mr,1
2nd,30,male,Mr,0
2nd,48,male,Mr,0
2nd,71,male,Mr,0
2nd,54,male,Nothing,0
2nd,28,male,Mr,0
2nd,28,male,Mr,0
2nd,64,male,Mr,0
2nd,32,male,Mr,0
2nd,18,female,Mrs,1
2nd,2,male,Nothing,1
2nd,32,male,Mr,0
2nd,3,male,Nothing,1
2nd,26,male,Mr,0
2nd,19,male,Mr,0
2nd,28,male,Mr,0
2nd,20,male,Mr,1
2nd,29,female,Mrs,1
2nd,39,male,Mr,0
2nd,22,male,Mr,1
2nd,28,male,Mr,1
2nd,24,male,Nothing,0
2nd,28,male,Mr,1
2nd,28,male,Mr,0
2nd,28,male,Mr,0
2nd,50,female,Mrs,1
2nd,20,male,Mr,0
2nd,40,male,Nothing,0
2nd,42,female,Miss,1
2nd,21,male,Mr,0
2nd,32,female,Miss,1
2nd,34,male,Mr,0
2nd,28,male,Mr,1
2nd,28,male,Mr,0
2nd,33,female,Mrs,1
2nd,2,female,Miss,1
2nd,8,female,Miss,1
2nd,36,male,Mr,0
2nd,34,male,Mr,0
2nd,30,female,Mrs,1
2nd,28,female,Mrs,1
2nd,23,male,Mr,0
2nd,0.8,male,Nothing,1
2nd,25,female,Mrs,1
2nd,3,male,Nothing,1
2nd,50,female,Miss,1
2nd,28,male,Mr,0
2nd,21,female,Miss,1
2nd,28,male,Mr,0
2nd,28,male,Mr,0
2nd,25,female,Mrs,1
2nd,18,female,Miss,1
2nd,20,female,Miss,1
2nd,30,female,Miss,1
2nd,59,male,Mr,0
2nd,30,female,Miss,1
2nd,35,male,Mr,0
2nd,22,male,Mr,0
2nd,28,female,Miss,1
2nd,25,male,Mr,0
2nd,41,male,Mr,0
2nd,25,male,Mr,0
2nd,14,male,Mr,0
2nd,50,female,Miss,1
2nd,22,male,Mr,0
2nd,28,female,Mrs,1
2nd,27,female,Miss,1
2nd,29,male,Mr,0
2nd,27,female,Mrs,0
2nd,30,male,Mr,0
2nd,22,male,Mr,0
2nd,35,female,Miss,1
2nd,30,male,Mr,0
2nd,28,female,Mrs,1
2nd,23,male,Mr,0
2nd,28,male,Mr,0
2nd,12,female,Miss,1
2nd,40,female,Mrs,1
2nd,36,female,Miss,1
2nd,28,male,Mr,0
2nd,32,female,Mrs,1
2nd,29,female,Mrs,1
2nd,4,female,Miss,1
2nd,2,male,Nothing,1
2nd,28,female,Miss,1
2nd,28,female,Miss,1
2nd,36,male,Mr,0
2nd,33,female,Mrs,1
2nd,28,male,Mr,0
2nd,28,male,Mr,0
2nd,28,male,Mr,0
2nd,32,male,Mr,1
2nd,28,female,Mrs,1
2nd,28,male,Mr,1
2nd,26,female,Miss,1
2nd,28,female,Miss,0
2nd,30,male,Mr,0
2nd,24,female,Miss,1
2nd,28,male,Mr,0
2nd,18,male,Mr,0
3rd,42,male,Mr,0
3rd,13,male,Nothing,0
3rd,16,male,Mr,0
3rd,35,female,Mrs,1
3rd,16,female,Miss,1
3rd,25,male,Mr,1
3rd,18,female,Mrs,1
3rd,20,male,Mr,1
3rd,30,male,Mr,0
3rd,26,male,Mr,0
3rd,40,female,Mrs,0
3rd,24,male,Mr,0
3rd,41,male,Mr,0
3rd,18,female,Mrs,1
3rd,0.83,male,Nothing,1
3rd,23,male,Mr,0
3rd,20,male,Mr,0
3rd,25,male,Mr,0
3rd,35,male,Mr,0
3rd,17,male,Mr,0
3rd,32,male,Mr,0
3rd,20,male,Mr,0
3rd,39,male,Mr,0
3rd,39,female,Mrs,0
3rd,6,female,Miss,0
3rd,2,female,Miss,0
3rd,17,female,Miss,1
3rd,38,female,Miss,0
3rd,9,female,Miss,0
3rd,26,male,Mr,0
3rd,11,female,Miss,0
3rd,4,male,Nothing,0
3rd,20,male,Mr,0
3rd,26,male,Mr,0
3rd,25,male,Mr,0
3rd,18,female,Mrs,0
3rd,24,male,Mr,0
3rd,35,male,Mr,0
3rd,40,male,Mr,0
3rd,38,female,Mrs,1
3rd,5,male,Nothing,0
3rd,9,male,Nothing,0
3rd,3,male,Nothing,1
3rd,13,male,Nothing,0
3rd,23,male,Mr,1
3rd,5,female,Miss,1
3rd,28,male,Mr,0
